Gene_name,WT_control_value,WT_log2_ratio,WT_Input_control_value,WT_Input_log2_ratio,Taf1_Input_control_value,Taf1_Input_log2_ratio,Taf1_control_value,Taf1_log2_ratio,Taf2_control_value,Taf2_log2_ratio,Taf7_control_value,Taf7_log2_ratio,Taf11_control_value,Taf11_log2_ratio,Taf13_control_value,Taf13_log2_ratio,Med14_control_value,Med14_log2_ratio,WT_minus_SM_control_value,WT_minus_SM_log2_ratio,WT_SM_control_value,WT_SM_log2_ratio,Taf1_SM_control_value,Taf1_SM_log2_ratio
YDL065C,0.3626389676,0.6428848316,0.5399101726,-0.4413071878,0.7190777524,0.1277429185,0.5125312759,-1.5618460148,0.9562357527,-1.179503739,0.3780906738,-1.5064490864,0.5627371317,-2.3478241892,0.3087886483,-2.4888083225,1.104972228,-3.1558145786,0.3491367313,-0.803470702,0.5421109825,-1.0461104064,0.190790181,-0.2118930828
YMR195W,6.7240543789,-0.2798719944,0.6430798725,-0.5995358247,1.0344677178,0.037409223,4.6743015888,-0.0169536661,3.9713927511,0.0373762136,4.3332579472,-0.7564179839,6.0361020204,-0.8213340917,2.4499841326,-0.8005796801,9.5964725563,-4.7611954206,7.9180705258,0.2251700579,18.2358577577,-0.8426931555,12.5360981839,-0.3640054687
YNL325C,0.7159183288,-0.2074739157,0.5085033573,-0.55297089,0.8103125186,-0.2057662623,0.6051335379,-1.154896059,0.6088999969,-0.9301717867,0.4610930301,-1.2076384948,0.7385279694,-1.9954647066,0.358568726,-1.1539707683,0.6473980428,-2.0971320405,0.9171437913,0.5580136889,0.6724783469,-0.1460766237,0.4797493811,-0.476856372
YFL013C,0.7216476775,0.1761974777,0.4293953304,-0.4643258607,0.6691496924,-0.0230811734,0.6399963214,-1.6914045,0.7433447434,-0.0674768674,0.4488084544,-1.5373416415,0.5485961397,-1.3378752642,0.3150926756,-1.2867989933,1.1554912027,-2.8949894348,0.2911829822,-0.0686545073,1.0740506853,-1.0271292057,0.4098898283,-0.4537518194
YER113C,0.7868873327,0.4383749348,0.5612701841,-0.6521353624,0.769384773,0.2052545708,0.6487631419,-1.6498122935,0.9035221952,-1.2282466986,0.6938976829,-2.1393281402,0.9939524329,-2.9954464992,0.3824262087,-2.0638581957,1.3877467916,-2.9975392398,0.6860643177,0.1792494358,0.5198002808,-0.4271139665,0.2467790807,-0.5420049991
YPR122W,0.3360598916,0.4626252981,0.3802588612,-0.2350283705,0.6653600863,-0.0776110526,0.6480583626,-2.5520691054,0.8894795578,-2.2805202027,0.2470322276,-1.7155528394,0.2785026755,-1.9178160049,0.3879150601,-2.7910764251,0.5557101765,-2.6722005839,0.4450360222,-0.6799596212,0.580464427,0.1693117351,0.2698045361,-0.3047461625
YKL143W,0.9243428646,0.4096312102,0.4613087073,-0.5779093641,0.751289404,-0.2268629438,0.8985404707,-1.725987597,1.5104405993,-1.328877215,0.6095178879,-2.2362895105,1.0337788178,-2.1415996975,0.5370922582,-2.1482878343,2.0214717769,-3.0104618541,1.0802809993,-0.6706943628,0.8529646779,0.1628825276,0.5121506998,-1.3224778589
YNL310C,0.4433235365,0.4067368581,0.5171993303,-0.3482194942,0.4683005705,0.3459855401,0.5736063123,-1.499086587,0.6426662819,-0.8239671359,0.3940966006,-0.9443995128,0.4786665011,-1.9402095902,0.4225328652,-2.6866612213,0.8188590528,-2.3828495991,1.2099338194,0.1251642396,1.5220875183,0.3082817176,0.5682380031,-0.9983069321
YPL236C,0.1350645627,1.0156079749,0.4312527227,-0.084482756,0.7024982258,-0.0149742706,0.4023455887,-1.064248238,0.380257462,-0.8189981853,0.1793240116,-0.4306849073,0.2337489556,-0.9427863886,0.1815125106,-1.3383541261,0.4908659936,-2.7370148808,0.1832331033,-0.4755701319,0.2808027246,0.3975047192,0.2827706916,-0.5883775595
YPL237W,3.1454373784,0.3540861807,0.5990090187,-0.83109367,0.8572088937,0.117978328,2.1507356619,-1.7320215859,3.9162282972,-1.2285297587,2.1643658394,-2.6761196312,3.5184014275,-2.403984976,1.2621640894,-2.0687839504,5.6886945864,-3.2881357664,1.7814233993,-0.1978213949,2.8517151684,-0.6595164121,1.4446928578,-1.6477111595
