id,area,reads,optimal_bw
YAL068W-A,11770.5326426489,350,70
YAL068C,0,25,0
YAL067W-A,0,15,0
YAL067C,15612.2861991808,309,80
YAL066W,0,39,0
YAL065C,0,7,0
YAL064W-B,0,16,0
YAL064C-A,0,9,0
YAL064W,10007.6608648256,172,100
YAL063C-A,0,11,0
YAL063C,0,42,0
YAL062W,10253.8046511628,258,100
YAL061W,26165.8291582107,1460,90
YAL060W,27657.211380597,1608,100
YAL059W,6061.63817934782,92,100
YAL059C-A,3953.68168453822,59,70
YAL058W,3729.25480433873,56,80
YAL056C-A,17002.4134394172,326,100
YAL056W,17442.7397933468,248,100
YAL055W,0,45,0
YAL054C,30690.3931898602,2426,90
YAL053W,29352.4107727077,2323,100
YAL051W,23138.2558735575,723,80
YAL049C,13228.0878424657,219,100
YAL047W-A,4410.49130859375,64,100
YAL048C,10120.3581638756,209,100
YAL047C,5416.82322443182,88,100
YAL046C,8563.6356870229,131,100
YAL044W-A,5854.15149456522,92,100
YAL045C,6739.82956204379,137,100
YAL044C,14980.9696767241,870,100
YAL043C,22101.3905679744,548,100
YAL042W,24033.9823088293,514,80
YAL042C-A,3666.52790948276,58,100
YAL041W,21550.5476180743,604,90
YAL040C,28602.7962658898,1416,100
YAL039C,25382.3481602823,1488,100
YAL038W,37513.4369695572,4336,100
YAL037C-B,9593.53383233533,167,100
YAL037C-A,7684.8806722689,119,100
YAL037W,9859.55589849109,165,90
YAL036C,21551.2476303998,442,80
YAL035W,20663.5897707883,451,90
YAL034W-A,4621.32249583507,56,70
YAL034C-B,0,45,0
YAL034C,19756.65125,660,100
YAL033W,17544.8316961716,386,60
YAL032C,7104.68365213146,92,80
YAL031W-A,11156.8138329384,211,100
YAL031C,23685.0484615294,742,70
YAL030W,23558.001339006,749,70
YAL029C,13243.3108183856,223,100
YAL028W,13279.2438616071,224,100
YAL027W,0,48,0
YAL026C-A,0,28,0
YAL026C,18576.860686185,332,70
YAL025C,0,18,0
YAL024C,6694.51628787879,99,100
YAL023C,17850.1646213893,417,90
YAL022C,5365.49691305093,68,70
YAL021C,15928.1154588607,395,100
YAL019W-A,4720.74423701298,77,100
YAL020C,18384.9553125,440,100
YAL019W,18852.1229418018,474,80
YAL018C,26947.4145251593,1334,80
YAL017W,26464.4401692326,1344,90
YAL016C-B,20450.9895038609,445,90
YAL016W,21750.6010380498,405,80
YAL016C-A,5921.64398734177,79,100
YAL015C,6135.6375,106,100
YAL014C,24269.1536589252,749,90
YAL013W,23017.7204124843,797,100
YAL012W,27421.5647661667,1226,80
YAL011W,7418.9342885189,109,90
YAL010C,7021.80836776859,121,100
YAL009W,6709.43217592592,81,100
YAL008W,11114.6289951234,227,90
YAL007C,20056.0083809315,569,100
YAL004W,0,1,0
YAL005C,34959.537450968,7903,100
YAL003W,35615.1805725203,8146,100
YAL002W,22778.0831578267,664,80
YAL001C,16947.6913507109,422,100
YAR002W,0,40,0
YAR002C-A,8155.55513059701,134,100
YAR003W,7899.80237603305,121,100
YAR007C,14894.1369213187,323,80
YAR008W,14866.7799859785,341,70
YAR014C,26076.1714255511,679,80
YAR015W,26530.9494248883,676,70
YAR018C,7293.13684402332,60,70
YAR019W-A,4352.7369140625,64,100
YAR019C,10263.0042921687,166,100
YAR020C,7141.41996527777,108,100
YAR023C,14055.8384885204,196,100
YAR027W,13018.951875,230,100
YAR028W,22727.2877591801,520,90
YAR029W,11881.8773674242,154,60
YAR031W,0,28,0
YAR030C,3814.5743852459,61,100
YAR033W,10886.224028907,123,60
YAR035W,20521.2488204765,785,90
YAR035C-A,13488.006462766,235,100
YAR042W,16874.9375697545,315,80
YAR047C,3073.97222222222,54,100
YAR050W,3537.82927631579,57,100
YAR053W,0,12,0
YAR060C,0,0,0
YAR064W,0,0,0
YAR066W,0,0,0
YAR068W,0,0,0
YAR069C,0,2,0
YAR070C,0,0,0
YAR071W,0,0,0
YAR073W,14848.735962639,162,70
YAR075W,0,4,0
YJL225W-A,0,0,0
YJL225C,0,0,0
YJL223C,0,0,0
YJL222W-B,0,0,0
YJL222W-A,0,0,0
YJL222W,0,0,0
YJL220W,0,0,0
YJL221C,0,18,0
YJL219W,0,1,0
YJL218W,16253.7607672939,330,70
YJL217W,25567.2599720841,827,90
YJL216C,17337.7960054806,593,100
YJL215C,0,35,0
YJL214W,17424.3009884679,607,100
YJL213W,23081.3072993373,679,100
YJL212C,36958.2004214048,7475,100
YJL210W,37326.7442911326,7646,100
YJL211C,12254.670872093,430,100
YJL209W,19249.2422141776,604,80
YJL208C,8387.59062499999,138,100
YJL207C,19241.8461158182,562,80
YJL206C,14820.093662964,358,70
YJL205C,13180.4192813132,181,90
YJL204C,9698.86525186567,134,100
YJL203W,9533.40289938039,145,80
YJL202C,12725.5342982215,303,60
YJL201W,19821.4778966228,635,80
YJL200C,12489.9474798387,310,100
YJL199C,25996.3029371585,1037,60
YJL198W,26220.1867875719,1004,60
YJL197W,9294.38885054827,161,90
YJL197C-A,0,31,0
YJL196C,23912.7727831825,944,80
YJL194W,23990.3506534658,940,80
YJL195C,5345.51370967742,62,100
YJL193W,16330.559384858,317,100
YJL192C,20721.7529246795,468,100
YJL191W,20286.6527777778,459,100
YJL190C,22362.605684594,1113,80
YJL189W,22413.3341691301,1110,80
YJL188C,8629.75140673553,98,90
YJL187C,13953.3766017588,199,100
YJL186W,18674.9799079276,445,60
YJL185C,19167.9097093438,701,100
YJL184W,20076.3922497235,678,80
YJL183W,8061.00147321429,140,100
YJL181W,17643.7277652783,642,90
YJL182C,0,32,0
YJL180C,0,49,0
YJL179W,0,41,0
YJL178C,33039.7235696896,3286,100
YJL177W,32744.6015580959,3193,100
YJL175W,0,34,0
YJL176C,21413.4796254588,666,60
