id, area

YAL068W-A,11037.893038
YAL068C,3126.29090909
YAL067W-A,1698.51818182
YAL067C,17941.2011364
YAL066W,3763.377
YAL065C,1817.31666667
YAL064W-B,3289.475
YAL064C-A,2369.125
YAL064W,10234.9713158
YAL063C-A,1321.7
YAL063C,1999.25833333
YAL062W,9608.04
YAL061W,27154.988147
YAL060W,28427.8854004
YAL059W,4209.36904762
YAL059C-A,4801.2421875
YAL058W,3918.47307692
YAL056C-A,15245.9706522
YAL056W,10456.1592593
YAL055W,2401.13571429
YAL054C,29153.3710938
YAL053W,28182.3243067
YAL051W,21582.689199
YAL049C,13626.1215976
YAL047W-A,4804.80652174
YAL048C,12083.85625
YAL047C,4657.74615385
YAL046C,8526.38777778
YAL044W-A,4938.61987952
YAL045C,10494.9206633
YAL044C,18792.1226674
YAL043C,18507.4811456
YAL042W,19373.4759947
YAL042C-A,7454.88451327
YAL041W,22018.7883549
YAL040C,30762.0012385
YAL039C,24648.3671353
YAL038W,35103.5949948
YAL037C-B,6623.06285714
YAL037C-A,4982.76126761
YAL037W,6244.51141304
YAL036C,23584.1794664
YAL035W,22659.2568132
YAL034W-A,3142.90657895
YAL034C-B,3211.31931818
YAL034C,17982.375283
YAL033W,16106.7916667
YAL032C,6918.89184783
YAL031W-A,13141.6565502
YAL031C,22368.5222704
YAL030W,22137.8512821
YAL029C,4089.10789474
YAL028W,4129.92321429
YAL027W,5358.721875
YAL026C-A,2679.27142857
YAL026C,20662.5073171
YAL025C,1837.46
YAL024C,4477.68679245
YAL023C,8527.21371951
YAL022C,4997.1738806
YAL021C,19687.9510393
YAL019W-A,5890.52787611
YAL020C,20860.6456679
YAL019W,20633.4992424
YAL018C,25380.7806362
YAL017W,25155.6572456
YAL016C-B,18136.8986159
YAL016W,19319.6958984
YAL016C-A,6911.9715
YAL015C,8621.18522727
YAL014C,19141.1142468
YAL013W,19063.3146465
YAL012W,28425.3827708
YAL011W,7835.47983871
YAL010C,7408.30979381
YAL009W,5739.84671053
YAL008W,7357.40738255
YAL007C,20094.6304009
YAL004W,2193.48
YAL005C,35257.390793
YAL003W,35846.1806908
YAL002W,12396.3577922
YAL001C,21569.4927273
YAR002W,2814.1
YAR002C-A,5033.54552239
YAR003W,5907.322
YAR007C,19703.7892351
YAR008W,19415.4990251
YAR014C,25040.7145701
YAR015W,24920.8282677
YAR018C,4179.61285714
YAR019W-A,5852.4825
YAR019C,11756.4
YAR020C,8043.52279412
YAR023C,7238.49269663
YAR027W,9971.41911765
YAR028W,23660.9989529
YAR029W,8178.47428571
YAR031W,2052.23863636
YAR030C,2311.52586207
YAR033W,7944.38465347
YAR035W,21157.0319296
YAR035C-A,15493.9726316
YAR042W,17035.0245968
YAR047C,3958.44489796
YAR050W,3836.97717391
YAR053W,2727.19615385
YAR060C,0
YAR064W,0
YAR066W,0.0
YAR068W,0
YAR069C,375.0
YAR070C,0
YAR071W,0
YAR073W,13591.8497283
YAR075W,823.4
YJL225W-A,0
YJL225C,0
YJL223C,0
YJL222W-B,0
YJL222W-A,0
YJL222W,0
YJL220W,0
YJL221C,4634.625
YJL219W,1474.9
YJL218W,16593.7253817
YJL217W,22452.6821885
YJL216C,21318.9594082
YJL215C,3824.35384615
YJL214W,21081.0792035
YJL213W,22516.5915842
YJL212C,37516.3523097
YJL210W,37487.3682623
YJL211C,14318.237069
YJL209W,16995.0059375
YJL208C,8327.34207921
YJL207C,21147.9251786
YJL206C,16246.4768966
YJL205C,14381.6830508
YJL204C,4524.31363636
YJL203W,4584.95338983
YJL202C,9101.1423913
YJL201W,15418.375
YJL200C,8457.40942623
YJL199C,24014.5289368
YJL198W,23904.6119576
YJL197W,5771.071875
YJL197C-A,1766.17142857
YJL196C,22942.9586758
YJL194W,22800.2458459
YJL195C,4708.56315789
YJL193W,16347.8730415
YJL192C,8524.46875
YJL191W,8908.09098837
YJL190C,22133.2778419
YJL189W,22228.5675603
YJL188C,4715.6425
YJL187C,12112.5882353
YJL186W,15666.8709231
YJL185C,20649.5930887
YJL184W,20856.0533101
YJL183W,7673.28139535
YJL181W,21911.718865
YJL182C,3191.97727273
YJL180C,3903.36486486
YJL179W,3677.66428571
YJL178C,33452.09
YJL177W,33415.7070053
YJL175W,2445.27931034
YJL176C,18283.6959016
YJL174W,18273.0793478
YJL173C,14741.8866071
YJL172W,26884.9198499
YJL171C,29436.3973341
YJL170C,2989.98
YJL169W,7168.49464286
YJL168C,20499.9752778
YJL167W,20442.8838504
YJL166W,28276.0448179
YJL165C,35741.2469129
YJL164C,30158.3564963
YJL163C,10184.2890909
YJL162C,10595.064878
YJL161W,17093.434555
YJL160C,29737.5205686
YJL159W,33156.145503
YJL158C,26167.1180364
YJL157C,21403.0014946
YJL156W-A,9114.723
