Locus,Gene,SAGA/TFIID
YAL001C,TFC3,TFIID-dominated
YAL002W,VPS8,TFIID-dominated
YAL003W,EFB1,TFIID-dominated
YAL004W,YAL004W,TFIID-dominated
YAL005C,SSA1,TFIID-dominated
YAL007C,ERP2,TFIID-dominated
YAL008W,FUN14,TFIID-dominated
YAL009W,SPO7,TFIID-dominated
YAL010C,MDM10,TFIID-dominated
YAL011W,SWC3,TFIID-dominated
YAL012W,CYS3,TFIID-dominated
YAL013W,DEP1,TFIID-dominated
YAL014C,SYN8,TFIID-dominated
YAL015C,NTG1,TFIID-dominated
YAL016W,TPD3,TFIID-dominated
YAL017W,PSK1,TFIID-dominated
YAL018C,YAL018C,no_call
YAL019W,FUN30,TFIID-dominated
YAL020C,ATS1,SAGA-dominated
YAL021C,CCR4,no_call
YAL022C,FUN26,TFIID-dominated
YAL023C,PMT2,TFIID-dominated
YAL024C,LTE1,TFIID-dominated
YAL025C,MAK16,TFIID-dominated
YAL026C,DRS2,no_call
YAL027W,SAW1,TFIID-dominated
YAL028W,FRT2,TFIID-dominated
YAL029C,MYO4,TFIID-dominated
YAL030W,SNC1,TFIID-dominated
YAL031C,GIP4,SAGA-dominated
YAL032C,PRP45,TFIID-dominated
YAL033W,POP5,TFIID-dominated
YAL034C,FUN19,no_call
YAL034W-A,MTW1,TFIID-dominated
YAL035W,FUN12,TFIID-dominated
YAL036C,RBG1,TFIID-dominated
YAL037W,YAL037W,SAGA-dominated
YAL038W,CDC19,SAGA-dominated
YAL039C,CYC3,TFIID-dominated
YAL040C,CLN3,SAGA-dominated
YAL041W,CDC24,TFIID-dominated
YAL042W,ERV46,TFIID-dominated
YAL043C,PTA1,TFIID-dominated
YAL044C,GCV3,SAGA-dominated
YAL045C,YAL045C,TFIID-dominated
YAL046C,AIM1,TFIID-dominated
YAL047C,SPC72,TFIID-dominated
YAL048C,GEM1,TFIID-dominated
YAL049C,AIM2,TFIID-dominated
YAL051W,OAF1,TFIID-dominated
YAL053W,FLC2,SAGA-dominated
YAL054C,ACS1,no_call
YAL055W,PEX22,TFIID-dominated
YAL056W,GPB2,TFIID-dominated
YAL058W,CNE1,TFIID-dominated
YAL059W,ECM1,TFIID-dominated
YAL060W,BDH1,SAGA-dominated
YAL061W,BDH2,no_call
YAL062W,GDH3,SAGA-dominated
YAL063C,FLO9,TFIID-dominated
YAL064W,YAL064W,no_call
YAL065C,YAL065C,TFIID-dominated
YAL066W,YAL066W,no_call
YAL067C,SEO1,TFIID-dominated
YAL068C,PAU8,no_call
YAL069W,YAL069W,no_call
YAR002C-A,ERP1,no_call
YAR002W,NUP60,TFIID-dominated
YAR003W,SWD1,TFIID-dominated
YAR007C,RFA1,TFIID-dominated
YAR008W,SEN34,TFIID-dominated
YAR009C,YAR009C,SAGA-dominated
YAR010C,YAR010C,SAGA-dominated
YAR014C,BUD14,TFIID-dominated
YAR015W,ADE1,SAGA-dominated
YAR018C,KIN3,TFIID-dominated
YAR019C,CDC15,TFIID-dominated
YAR020C,PAU7,TFIID-dominated
YAR023C,YAR023C,TFIID-dominated
YAR027W,UIP3,TFIID-dominated
YAR028W,YAR028W,SAGA-dominated
YAR029W,YAR029W,no_call
YAR030C,YAR030C,TFIID-dominated
YAR031W,PRM9,no_call
YAR033W,MST28,TFIID-dominated
YAR035W,YAT1,SAGA/TFIID
YAR042W,SWH1,TFIID-dominated
YAR047C,YAR047C,TFIID-dominated
YAR050W,FLO1,TFIID-dominated
YAR053W,YAR053W,TFIID-dominated
YAR060C,YAR060C,TFIID-dominated
YAR064W,YAR064W,SAGA/TFIID
YAR066W,YAR066W,SAGA-dominated
YAR068W,YAR068W,TFIID-dominated
YAR069C,YAR069C,TFIID-dominated
YAR070C,YAR070C,TFIID-dominated
YAR071W,PHO11,TFIID-dominated
YAR073W,IMD1,TFIID-dominated
YAR075W,YAR075W,TFIID-dominated
YBL001C,ECM15,TFIID-dominated
YBL002W,HTB2,TFIID-dominated
YBL003C,HTA2,TFIID-dominated
YBL004W,UTP20,TFIID-dominated
YBL005W,PDR3,TFIID-dominated
YBL005W-A,YBL005W-A,SAGA/TFIID
YBL005W-B,YBL005W-B,SAGA-dominated
YBL006C,LDB7,TFIID-dominated
YBL007C,SLA1,TFIID-dominated
YBL008W,HIR1,TFIID-dominated
YBL009W,ALK2,TFIID-dominated
YBL010C,YBL010C,no_call
YBL011W,SCT1,TFIID-dominated
YBL012C,YBL012C,TFIID-dominated
YBL013W,FMT1,no_call
YBL014C,RRN6,TFIID-dominated
YBL015W,ACH1,TFIID-dominated
YBL016W,FUS3,TFIID-dominated
YBL017C,PEP1,TFIID-dominated
YBL018C,POP8,TFIID-dominated
YBL019W,APN2,TFIID-dominated
YBL020W,RFT1,TFIID-dominated
YBL021C,HAP3,TFIID-dominated
YBL022C,PIM1,no_call
YBL023C,MCM2,TFIID-dominated
YBL024W,NCL1,TFIID-dominated
YBL025W,RRN10,TFIID-dominated
YBL026W,LSM2,no_call
YBL027W,RPL19B,TFIID-dominated
YBL028C,YBL028C,TFIID-dominated
YBL029W,YBL029W,TFIID-dominated
YBL030C,PET9,SAGA-dominated
YBL031W,SHE1,TFIID-dominated
YBL032W,HEK2,no_call
YBL033C,RIB1,TFIID-dominated
YBL034C,STU1,no_call
YBL035C,POL12,TFIID-dominated
YBL036C,YBL036C,TFIID-dominated
YBL037W,APL3,TFIID-dominated
YBL038W,MRPL16,TFIID-dominated
YBL039C,URA7,TFIID-dominated
YBL040C,ERD2,TFIID-dominated
YBL041W,PRE7,TFIID-dominated
YBL042C,FUI1,SAGA-dominated
YBL043W,ECM13,SAGA-dominated
YBL044W,YBL044W,no_call
YBL045C,COR1,TFIID-dominated
YBL046W,PSY4,TFIID-dominated
YBL047C,EDE1,TFIID-dominated
YBL048W,RRT1,TFIID-dominated
YBL049W,MOH1,TFIID-dominated
YBL050W,SEC17,TFIID-dominated
YBL051C,PIN4,TFIID-dominated
YBL052C,SAS3,TFIID-dominated
YBL053W,YBL053W,TFIID-dominated
YBL054W,TOD6,TFIID-dominated
YBL055C,YBL055C,TFIID-dominated
YBL056W,PTC3,TFIID-dominated
YBL057C,PTH2,TFIID-dominated
YBL058W,SHP1,TFIID-dominated
YBL059W,YBL059W,TFIID-dominated
YBL060W,YEL1,TFIID-dominated
YBL061C,SKT5,TFIID-dominated
YBL062W,YBL062W,SAGA/TFIID
YBL063W,KIP1,TFIID-dominated
YBL064C,PRX1,SAGA-dominated
YBL065W,YBL065W,no_call
YBL066C,SEF1,TFIID-dominated
YBL067C,UBP13,TFIID-dominated
YBL068W,PRS4,TFIID-dominated
