,id,reads
0,YAL001C,440
1,YAL002W,231
2,YAL003W,7354
3,YAL004W,5
4,YAL005C,7049
5,YAL007C,449
6,YAL008W,149
7,YAL009W,76
8,YAL010C,97
9,YAL011W,124
10,YAL012W,1274
11,YAL013W,594
12,YAL014C,551
13,YAL015C,132
14,YAL016C-A,100
15,YAL016C-B,289
16,YAL016W,256
17,YAL017W,904
18,YAL018C,896
19,YAL019W,594
20,YAL019W-A,113
21,YAL020C,554
22,YAL021C,433
23,YAL022C,67
24,YAL023C,164
25,YAL024C,53
26,YAL025C,15
27,YAL026C,369
28,YAL026C-A,21
29,YAL027W,48
30,YAL028W,56
31,YAL029C,57
32,YAL030W,585
33,YAL031C,577
34,YAL031W-A,229
35,YAL032C,92
36,YAL033W,288
37,YAL034C,530
38,YAL034C-B,44
39,YAL034W-A,38
40,YAL035W,455
41,YAL036C,431
42,YAL037C-A,71
43,YAL037C-B,105
44,YAL037W,92
45,YAL038W,2877
46,YAL039C,1316
47,YAL040C,1090
48,YAL041W,541
49,YAL042C-A,113
50,YAL042W,377
51,YAL043C,419
52,YAL044C,911
53,YAL044W-A,83
54,YAL045C,196
55,YAL046C,135
56,YAL047C,78
57,YAL047W-A,46
58,YAL048C,168
59,YAL049C,169
60,YAL051W,412
61,YAL053W,1839
62,YAL054C,2112
63,YAL055W,21
64,YAL056C-A,276
65,YAL056W,162
66,YAL058W,52
67,YAL059C-A,64
68,YAL059W,63
69,YAL060W,1661
70,YAL061W,1333
71,YAL062W,185
72,YAL063C,18
73,YAL063C-A,9
74,YAL064C-A,12
75,YAL064W,190
76,YAL064W-B,36
77,YAL065C,18
78,YAL066W,50
79,YAL067C,396
80,YAL067W-A,11
81,YAL068C,33
82,YAL068W-A,237
83,YAR002C-A,67
84,YAR002W,27
85,YAR003W,75
86,YAR007C,353
87,YAR008W,359
88,YAR014C,628
89,YAR015W,635
90,YAR018C,35
91,YAR019C,192
92,YAR019W-A,80
93,YAR020C,136
94,YAR023C,89
95,YAR027W,102
96,YAR028W,573
97,YAR029W,105
98,YAR030C,29
99,YAR031W,22
100,YAR033W,101
101,YAR035C-A,285
102,YAR035W,938
103,YAR042W,372
104,YAR047C,49
105,YAR050W,46
106,YAR053W,13
107,YAR060C,0
108,YAR064W,0
109,YAR066W,1
110,YAR068W,0
111,YAR069C,2
112,YAR070C,0
113,YAR071W,0
114,YAR073W,184
115,YAR075W,6
116,YBL001C,588
117,YBL002W,3478
118,YBL003C,3509
119,YBL004W,362
120,YBL005W,1419
121,YBL006C,1066
122,YBL006W-A,758
123,YBL007C,973
124,YBL008W,86
125,YBL008W-A,112
126,YBL009W,94
127,YBL010C,78
128,YBL011W,2226
129,YBL012C,143
130,YBL013W,440
131,YBL014C,583
132,YBL015W,3345
133,YBL016W,1864
134,YBL017C,2863
135,YBL018C,821
136,YBL019W,35
137,YBL020W,752
138,YBL021C,693
139,YBL022C,412
140,YBL023C,65
141,YBL024W,199
142,YBL025W,94
143,YBL026W,344
144,YBL027W,2548
145,YBL028C,2549
146,YBL029C-A,4947
147,YBL029W,1131
148,YBL030C,1037
149,YBL031W,361
150,YBL032W,1337
151,YBL033C,1283
152,YBL034C,525
153,YBL035C,622
154,YBL036C,130
155,YBL037W,566
156,YBL038W,72
157,YBL039C,54
158,YBL039C-A,67
159,YBL039W-B,534
160,YBL040C,529
161,YBL041W,3011
162,YBL042C,3348
163,YBL043W,1954
164,YBL044W,2363
165,YBL045C,3221
166,YBL046W,1174
167,YBL047C,1151
168,YBL048W,69
169,YBL049W,291
170,YBL050W,932
171,YBL051C,944
172,YBL052C,38
173,YBL053W,29
174,YBL054W,1413
175,YBL055C,2159
176,YBL056W,914
177,YBL057C,979
178,YBL058W,370
179,YBL059C-A,88
180,YBL059W,85
181,YBL060W,390
182,YBL061C,401
183,YBL062W,25
184,YBL063W,637
185,YBL064C,462
186,YBL065W,140
187,YBL066C,233
188,YBL067C,577
189,YBL068W,477
190,YBL068W-A,65
191,YBL069W,178
192,YBL070C,76
193,YBL071C,157
194,YBL071C-B,992
195,YBL071W-A,1085
196,YBL072C,1021
197,YBL073W,55
198,YBL074C,1219
199,YBL075C,136
200,YBL076C,461
201,YBL077W,635
202,YBL078C,919
203,YBL079W,90
204,YBL080C,93
205,YBL081W,118
206,YBL082C,159
207,YBL083C,69
208,YBL084C,213
209,YBL085W,1123
210,YBL086C,624
211,YBL087C,1836
212,YBL088C,182
213,YBL089W,133
214,YBL090W,126
215,YBL091C,132
216,YBL091C-A,176
217,YBL092W,1416
218,YBL093C,3070
