id,area_14,reads_14,area_27,reads_27
YAL001C,20106.7929615,440,16947.6913507,422
YAL002W,11288.5207792,231,22778.0831578,664
YAL003W,34373.5785329,7354,35615.1805725,8146
YAL004W,0.0,5,0.0,1
YAL005C,33535.1694225,7049,34959.537451,7903
YAL007C,18219.3973413,449,20056.0083809,569
YAL008W,6964.04861577,149,11114.6289951,227
YAL009W,5239.059375,76,6709.43217593,81
YAL010C,6658.70895619,97,7021.80836777,121
YAL011W,6893.69440524,124,7418.93428852,109
YAL012W,25840.4965001,1274,27421.5647662,1226
YAL013W,17977.4277146,594,23017.7204125,797
YAL014C,17819.7423662,551,24269.1536589,749
YAL015C,8228.54147727,132,6135.6375,106
YAL016C-A,6484.18569959,100,5921.64398734,79
YAL016C-B,16206.1695285,289,20450.9895039,445
YAL016W,17475.5613225,256,21750.601038,405
YAL017W,23539.6144877,904,26464.4401692,1344
YAL018C,24014.808573,896,26947.4145252,1334
YAL019W,19472.3440683,594,18852.1229418,474
YAL019W-A,5353.07323009,113,4720.74423701,77
YAL020C,19830.3024347,554,18384.9553125,440
YAL021C,17777.2904879,433,15928.1154589,395
YAL022C,4745.99787521,67,5365.49691305,68
YAL023C,7710.3366997,164,17850.1646214,417
YAL024C,3994.13832179,53,6694.51628788,99
YAL025C,0.0,15,0.0,18
YAL026C,18862.4410391,369,18576.8606862,332
YAL026C-A,0.0,21,0.0,28
YAL027W,0.0,48,0.0,48
YAL028W,3421.85323661,56,13279.2438616,224
YAL029C,3383.06907895,57,13243.3108184,223
YAL030W,18926.108605,585,23558.001339,749
YAL031C,20092.329412,577,23685.0484615,742
YAL031W-A,12495.3158843,229,11156.8138329,211
YAL032C,6550.2010315,92,7104.68365213,92
YAL033W,14551.1152103,288,17544.8316962,386
YAL034C,16729.8191038,530,19756.65125,660
YAL034C-B,0.0,44,0.0,45
YAL034W-A,0.0,38,4621.32249584,56
YAL035W,19113.866456,455,20663.5897708,451
YAL036C,21698.2695423,431,21551.2476304,442
YAL037C-A,4644.69982394,71,7684.88067227,119
YAL037C-B,5704.37410714,105,9593.53383234,167
YAL037W,5723.15319293,92,9859.55589849,165
YAL038W,33032.7927808,2877,37513.4369696,4336
YAL039C,22893.829659,1316,25382.3481603,1488
YAL040C,27198.3244094,1090,28602.7962659,1416
YAL041W,19551.6653997,541,21550.5476181,604
YAL042C-A,7145.82577434,113,3666.52790948,58
YAL042W,17133.5696618,377,24033.9823088,514
YAL043C,16937.5551234,419,22101.390568,548
YAL044C,16511.0352776,911,14980.9696767,870
YAL044W-A,4833.73621988,83,5854.15149457,92
YAL045C,9762.29464286,196,6739.82956204,137
YAL046C,8082.17402778,135,8563.63568702,131
YAL047C,4380.41706731,78,5416.82322443,88
YAL047W-A,0.0,46,4410.49130859,64
YAL048C,11293.1440848,168,10120.3581639,209
YAL049C,12787.4812393,169,13228.0878425,219
YAL051W,19718.6251365,412,23138.2558736,723
YAL053W,26966.5744392,1839,29352.4107727,2323
YAL054C,28809.2773925,2112,30690.3931899,2426
YAL055W,0.0,21,0.0,45
YAL056C-A,14923.5535203,276,17002.4134394,326
YAL056W,9913.98510136,162,17442.7397933,248
YAL058W,3780.23379682,52,3729.25480434,56
YAL059C-A,4582.40963238,64,3953.68168454,59
YAL059W,3989.53720238,63,6061.63817935,92
YAL060W,27186.2297411,1661,27657.2113806,1608
YAL061W,26049.4696591,1333,26165.8291582,1460
YAL062W,8383.18246622,185,10253.8046512,258
YAL063C,0.0,18,0.0,42
