,id,TSS_start,TSS_frecuency_YPD
0,CUT001,30223,0
1,CUT002,138600,2
2,CUT010,296290,4
3,CUT011,306271,1
4,CUT012,306622,0
5,CUT014,324489,2
6,CUT015,326332,1
7,CUT019,365890,2
8,CUT021,376361,1
9,CUT024,423495,1
10,CUT025,429707,2
11,CUT029,576344,1
12,CUT030,614448,2
13,CUT032,655444,0
14,CUT037,714705,1
15,CUT039,785045,1
16,CUT040,39034,5
17,CUT042,105828,2
18,CUT043,120469,1
19,CUT045,139359,1
20,CUT051,163417,1
21,CUT054,310438,2
22,CUT056,413575,2
23,CUT057,417271,1
24,CUT060,442632,0
25,CUT062,482611,1
26,CUT064,501786,7
27,CUT065,542637,1
28,CUT069,727852,3
29,CUT071,794510,1
30,CUT072,795210,1
31,CUT078,1072750,0
32,CUT088,1240100,1
33,CUT089,1242737,3
34,CUT091,1302170,1
35,CUT092,1319471,3
36,CUT093,1323505,0
37,CUT094,1334206,3
38,CUT095,1359146,3
39,CUT097,1367068,1
40,CUT098,1427371,1
41,CUT100,1484183,0
42,CUT103,9961,1
43,CUT105,45186,2
44,CUT110,261952,1
45,CUT111,316821,1
46,CUT112,326187,1
47,CUT116,422181,2
48,CUT118,483309,2
49,CUT119,500611,3
50,CUT122,106922,0
51,CUT126,95128,3
52,CUT128,147840,3
53,CUT133,228814,3
54,CUT134,269332,2
55,CUT136,286129,0
56,CUT140,366849,3
57,CUT145,508773,0
58,CUT146,545148,2
59,CUT149,605730,1
60,CUT153,700097,3
61,CUT155,739426,0
62,CUT163,962386,1
63,CUT164,974803,2
64,CUT167,1017958,1
65,CUT174,168262,1
66,CUT177,193864,2
67,CUT178,198651,2
68,CUT179,219013,0
69,CUT181,411691,2
70,CUT187,100441,1
71,CUT197,109791,1
72,CUT198,116638,0
73,CUT199,117880,3
74,CUT200,134195,1
75,CUT204,155044,2
76,CUT207,186858,1
77,CUT209,337514,1
78,CUT215,486549,1
79,CUT217,585664,1
80,CUT220,643601,0
81,CUT229,246173,1
82,CUT231,328147,1
83,CUT232,335294,1
84,CUT237,420309,0
85,CUT238,439792,2
86,CUT240,476035,1
87,CUT241,489890,0
88,CUT242,510784,1
89,CUT244,581465,0
90,CUT246,97802,1
91,CUT250,187654,2
92,CUT251,193699,2
93,CUT252,196844,2
94,CUT254,248771,2
95,CUT260,415803,2
96,CUT264,445121,0
97,CUT266,660435,1
98,CUT269,719684,1
99,CUT270,721768,1
100,CUT275,906701,1
101,CUT276,911531,1
102,CUT278,1041744,0
103,CUT279,1042409,2
104,CUT283,58867,4
105,CUT284,77975,0
106,CUT285,129754,1
107,CUT291,246884,0
108,CUT300,501144,2
109,CUT301,534968,3
110,CUT304,584308,1
111,CUT310,814366,1
112,CUT312,864505,2
113,CUT314,89478,1
114,CUT317,145509,1
115,CUT319,168094,1
116,CUT327,258416,1
117,CUT330,337996,2
118,CUT332,348745,3
119,CUT334,381064,6
120,CUT336,498811,1
121,CUT343,587074,1
122,CUT350,716407,1
123,CUT352,730810,3
124,CUT353,763141,1
125,CUT356,128292,2
126,CUT359,143738,0
127,CUT360,154947,0
128,CUT363,204650,1
129,CUT366,267828,2
130,CUT377,446068,2
131,CUT378,458206,2
132,CUT383,584255,1
133,CUT385,617377,1
134,CUT386,642378,1
135,CUT387,661896,1
136,CUT389,825267,1
137,CUT390,844884,0
138,CUT396,1001083,3
139,CUT398,1031545,1
140,CUT400,46758,1
141,CUT401,74098,8
142,CUT405,169641,2
143,CUT408,215205,1
144,CUT409,226091,3
145,CUT412,291330,1
146,CUT414,319218,0
147,CUT417,409097,4
148,CUT419,451579,1
149,CUT422,475165,1
150,CUT423,565283,1
151,CUT428,675907,1
152,CUT429,691907,2
153,CUT430,695359,0
154,CUT434,876849,1
155,CUT435,939195,0
156,CUT436,11127,1
157,CUT439,36359,4
158,CUT441,152053,4
159,CUT442,200428,5
160,CUT444,146988,0
161,CUT445,280671,0
162,CUT456,549549,1
163,CUT458,721149,0
164,CUT462,31206,1
165,CUT463,119404,0
166,CUT464,130383,0
167,CUT465,148038,1
168,CUT467,238643,3
169,CUT469,32045,1
170,CUT472,99330,1
171,CUT474,132615,1
172,CUT476,139266,0
173,CUT479,215717,3
174,CUT480,216434,1
175,CUT481,248022,2
176,CUT482,292568,1
177,CUT483,304844,1
178,CUT487,352643,1
179,CUT491,414741,1
180,CUT492,428732,9
181,CUT497,556671,1
182,CUT501,603250,3
183,CUT504,687882,1
184,CUT505,690491,1
185,CUT506,703771,3
186,CUT507,704145,1
187,CUT509,768392,1
188,CUT510,770188,3
189,CUT513,784651,1
190,CUT516,1005289,2
191,CUT517,1011410,1
192,CUT518,1020399,1
193,CUT521,1077819,1
194,CUT522,1146072,1
195,CUT524,1182996,1
196,CUT532,1301001,1
197,CUT536,1436690,1
198,CUT541,15628,1
199,CUT545,59281,1
200,CUT546,63742,2
201,CUT549,167291,1
202,CUT550,178587,1
203,CUT554,269343,2
204,CUT555,272277,1
205,CUT557,282541,0
206,CUT558,294850,1
207,CUT561,303458,1
208,CUT563,321883,1
209,CUT564,409417,1
210,CUT566,416524,1
211,CUT572,567582,1
212,CUT575,119188,0
213,CUT576,149715,1
214,CUT577,194507,1
215,CUT578,196366,2
216,CUT579,245952,0
217,CUT585,56162,3
218,CUT587,131304,1
219,CUT590,167511,5
220,CUT592,257278,2
221,CUT595,314386,1
222,CUT598,358567,3
223,CUT599,370650,0
224,CUT600,413254,1
225,CUT601,440536,1
226,CUT605,525620,0
227,CUT607,576488,2
228,CUT610,656425,1
