,gene,chromosome,start,stop,W/C,start_promoter,promoter_median,start_tss,max_frecuency(YPD),freq_total(sum),count_samples(freq),GC_start-100,GC_tss-100,GC_start-200,GC_tss-200,GC_start-300,GC_tss-300,GC_start-400,GC_tss-400,GC_start-500,GC_tss-500,GC_start-600,GC_tss-600
YAL001C,TFC3,1,151166.0,147594.0,-1,151766.0,151466.0,151198.0,1.0,3.0,4.0,40.0,41.0,70.0,69.0,100.0,90.0,109.0,105.0,140.0,140.0,172.0,169.0
YAL002W,VPS8,1,143707.0,147531.0,1,143107.0,143407.0,143612.0,2.0,5.0,8.0,33.0,34.0,68.0,66.0,100.0,91.0,127.0,118.0,153.0,146.0,181.0,185.0
YAL003W,EFB1,1,142174.0,143160.0,1,141574.0,141874.0,142153.0,5215.0,26389.0,1114.0,33.0,34.0,67.0,68.0,101.0,108.0,143.0,146.0,178.0,183.0,223.0,226.0
YAL005C,SSA1,1,141431.0,139503.0,-1,142031.0,141731.0,141493.0,855.0,2436.0,587.0,22.0,34.0,61.0,80.0,101.0,113.0,140.0,151.0,175.0,189.0,215.0,220.0
YAL007C,ERP2,1,138345.0,137698.0,-1,138945.0,138645.0,138414.0,258.0,1431.0,358.0,42.0,36.0,77.0,79.0,110.0,104.0,145.0,142.0,176.0,174.0,213.0,205.0
YAL008W,FUN14,1,136914.0,137510.0,1,136314.0,136614.0,136866.0,198.0,952.0,334.0,35.0,33.0,63.0,59.0,99.0,108.0,147.0,154.0,190.0,184.0,221.0,220.0
YAL009W,SPO7,1,135854.0,136633.0,1,135254.0,135554.0,135854.0,10.0,75.0,69.0,32.0,32.0,65.0,65.0,106.0,106.0,144.0,144.0,184.0,184.0,222.0,222.0
YAL010C,MDM10,1,135665.0,134184.0,-1,136265.0,135965.0,135686.0,14.0,153.0,165.0,30.0,27.0,67.0,69.0,121.0,119.0,161.0,159.0,205.0,202.0,237.0,232.0
YAL011W,SWC3,1,132199.0,134076.0,1,131599.0,131899.0,132195.0,17.0,87.0,49.0,36.0,36.0,67.0,69.0,113.0,115.0,167.0,169.0,220.0,222.0,267.0,267.0
YAL012W,CYS3,1,130799.0,131983.0,1,130199.0,130499.0,130735.0,1353.0,4765.0,312.0,34.0,33.0,67.0,72.0,103.0,122.0,160.0,173.0,214.0,237.0,275.0,286.0
YAL013W,DEP1,1,129270.0,130487.0,1,128670.0,128970.0,129238.0,61.0,498.0,174.0,41.0,33.0,75.0,70.0,123.0,119.0,168.0,163.0,212.0,209.0,256.0,256.0
YAL014C,SYN8,1,129019.0,128252.0,-1,129619.0,129319.0,129067.0,135.0,979.0,321.0,38.0,35.0,71.0,76.0,122.0,122.0,162.0,166.0,215.0,216.0,265.0,265.0
YAL015C,NTG1,1,128102.0,126903.0,-1,128702.0,128402.0,128102.0,40.0,79.0,26.0,20.0,20.0,52.0,52.0,95.0,95.0,142.0,142.0,188.0,188.0,238.0,238.0
YAL016W,TPD3,1,124879.0,126786.0,1,124279.0,124579.0,124782.0,70.0,733.0,183.0,37.0,44.0,80.0,75.0,111.0,98.0,133.0,119.0,155.0,150.0,186.0,190.0
YAL017W,PSK1,1,120225.0,124295.0,1,119625.0,119925.0,119867.0,0.0,0.0,2.0,26.0,37.0,59.0,69.0,99.0,99.0,138.0,141.0,172.0,181.0,196.0,220.0
YAL018C,LDS1,1,119541.0,118564.0,-1,120141.0,119841.0,119591.0,0.0,0.0,1.0,30.0,24.0,58.0,60.0,91.0,98.0,128.0,132.0,166.0,166.0,201.0,198.0
YAL019W,FUN30,1,114919.0,118314.0,1,114319.0,114619.0,114809.0,2.0,11.0,13.0,38.0,41.0,74.0,87.0,125.0,141.0,178.0,193.0,230.0,256.0,295.0,309.0
YAL020C,ATS1,1,114615.0,113614.0,-1,115215.0,114915.0,114637.0,3.0,9.0,9.0,49.0,45.0,88.0,85.0,126.0,125.0,177.0,180.0,229.0,232.0,277.0,278.0
YAL021C,CCR4,1,113359.0,110846.0,-1,113959.0,113659.0,113418.0,18.0,176.0,101.0,50.0,44.0,91.0,80.0,137.0,143.0,196.0,193.0,247.0,248.0,299.0,302.0
YAL022C,FUN26,1,110430.0,108877.0,-1,111030.0,110730.0,110446.0,762.0,3356.0,407.0,33.0,32.0,59.0,58.0,90.0,88.0,133.0,135.0,170.0,173.0,215.0,218.0
YAL023C,PMT2,1,108551.0,106272.0,-1,109151.0,108851.0,108639.0,104.0,1777.0,643.0,44.0,32.0,75.0,66.0,111.0,105.0,151.0,153.0,201.0,204.0,251.0,254.0
